epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.289,0.92985,2.70013,1.07096,0.00344,1,0.79674,0.65298,0.55418,2.78467,0.89109,0.00023338,0.00023338,0.00023338
2,668.085,0.66208,1.47607,0.92191,1,0.40921,0.98881,0.80948,0.76718,2.63538,0.94449,0.0004595,0.0004595,0.0004595
3,940.305,0.67401,1.17121,0.90304,0.96427,0.54382,0.97418,0.80883,0.61301,2.36986,0.90838,0.000660865,0.000660865,0.000660865
4,1178,0.6591,1.197,0.90548,0.891,0.99386,0.995,0.86221,0.55278,1.6228,0.89642,0.000837476,0.000837476,0.000837476
5,1407.03,0.62224,1.0462,0.89068,0.99586,1,0.995,0.85514,0.61146,1.21023,0.91247,0.000989331,0.000989331,0.000989331
6,1640.44,0.66256,1.03806,0.90749,0.84441,0.95466,0.96078,0.82376,0.7186,1.86047,0.92944,0.00111643,0.00111643,0.00111643
7,1879.72,0.58081,0.92257,0.88523,0.89289,0.96773,0.995,0.8785,0.55115,1.10884,0.89451,0.0011719,0.0011719,0.0011719
8,2175.08,0.61794,0.96542,0.89591,0.93786,0.92872,0.99266,0.89568,0.43884,1.11381,0.84959,0.00108938,0.00108938,0.00108938
9,2487.41,0.59525,0.84951,0.89879,0.99292,0.93012,0.995,0.86354,0.44695,0.77926,0.85345,0.00100687,0.00100687,0.00100687
10,2777.38,0.57394,0.83893,0.88584,0.94239,0.91864,0.98095,0.86244,0.57324,0.89391,0.88189,0.000924352,0.000924352,0.000924352
11,3011.48,0.52747,1.04959,0.84312,0.93356,0.9585,0.984,0.8207,0.69335,0.86899,0.89788,0.000841835,0.000841835,0.000841835
12,3283.27,0.53202,0.95701,0.86788,0.91504,0.94596,0.97651,0.85026,0.50806,0.81525,0.86586,0.000759318,0.000759318,0.000759318
13,3477.86,0.51788,0.86987,0.84408,0.99534,1,0.995,0.85365,0.50969,0.64602,0.86559,0.000676802,0.000676802,0.000676802
14,3718.68,0.50173,0.81842,0.84241,0.99672,1,0.995,0.88417,0.42498,0.60315,0.85142,0.000594286,0.000594286,0.000594286
15,3969.56,0.49746,0.80445,0.85302,0.9645,0.98324,0.995,0.84492,0.57504,0.65004,0.8634,0.000511769,0.000511769,0.000511769
16,4213.52,0.49412,0.74533,0.83388,0.95649,0.93123,0.995,0.87796,0.45172,0.63307,0.85757,0.000429253,0.000429253,0.000429253
17,4484.96,0.47391,0.76331,0.84134,0.95958,0.97106,0.995,0.90215,0.41796,0.56807,0.8466,0.000346736,0.000346736,0.000346736
18,4746.48,0.47719,0.72382,0.84159,0.99764,1,0.995,0.8818,0.47488,0.51044,0.85357,0.00026422,0.00026422,0.00026422
19,5006.69,0.47018,0.66696,0.8269,0.99601,1,0.995,0.88491,0.41923,0.4838,0.84647,0.000181703,0.000181703,0.000181703
20,5235.24,0.46599,0.65797,0.84371,0.99153,0.99949,0.995,0.89192,0.39812,0.47764,0.84567,9.91865e-05,9.91865e-05,9.91865e-05
